msn_code,msn_desc,source_code,source_desc,sector_code,sector_desc,units
HYICP,hydroelectricity net generation in the industrial sector,HY,hydropower,IC,industrial sector,million kilowatthours
SOICP,solar thermal and photovoltaic electricity net generation in the industrial sector,SO,solar energy,IC,industrial sector,million kilowatthours
WYICP,wind electricity net generation in the industrial sector,WY,wind energy,IC,industrial sector,million kilowatthours
ELISP,net interstate flow of of electricity,EL,electricity,IS,industrial sector excluding refinery fuel,million kilowatthours
NUETP,nuclear electricity total net generation,NU,nuclear energy,ET,miscellaneous,million kilowatthours
ELNIP,net imports of electricity into the united states,EL,electricity,NI,net imports expenditures,million kilowatthours
ESRCP,"electricity consumed by (i.e., sold to) the residential sector",ES,electricity,RC,residential sector,million kilowatthours
SOR7P,solar photovoltaic electricity generation by small-scale applications in the residential sector,SO,solar energy,R7,small-scale applications in the residential sector,million kilowatthours
ESTCP,"electricity total consumption (i.e., retail sales)",ES,electricity,TC,total consumption,million kilowatthours
HYTCP,hydroelectricity total net generation,HY,hydropower,TC,total consumption,million kilowatthours
WYTCP,wind electricity total net generation,WY,wind energy,TC,total consumption,million kilowatthours
SOTGP,solar thermal and photovoltaic electricity total net generation,SO,solar energy,TG,total per dollar of real gross domestic product,million kilowatthours
ESACP,"electricity consumed by (i.e., sold to) the transportation sector",ES,electricity,AC,transportation sector,million kilowatthours
TEGDS,energy expenditures as percent of current-dollar gdp,TE,total energy,GD,percent of current-dollar gdp,percent
TPOPP,resident population including armed forces,TP,resident population including armed forces,OP,resident population including armed forces. (thousand),thousand
PATXP,all petroleum products total end-use consumption,PA,all petroleum products,TX,all end-use sectors,thousand barrels
ARTXP,asphalt and road oil total end-use consumption,AR,asphalt and road oil,TX,all end-use sectors,thousand barrels
P1TXP,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,thousand barrels
AVTXP,aviation gasoline total end-use consumption,AV,aviation gasoline,TX,all end-use sectors,thousand barrels
CLTXP,coal total end-use consumption,CL,coal,TX,all end-use sectors,thousand barrels
DFTXP,distillate fuel oil total end-use consumption,DF,distillate fuel oil,TX,all end-use sectors,thousand barrels
HLTXP,hydrocarbon gas liquids total end-use consumption,HL,hydrocarbon gas liquids,TX,all end-use sectors,thousand barrels
JFTXP,jet fuel total end-use consumption,JF,jet fuel,TX,all end-use sectors,thousand barrels
KSTXP,kerosene total end-use consumption,KS,kerosene,TX,all end-use sectors,thousand barrels
LUTXP,lubricants total end-use consumption,LU,lubricants,TX,all end-use sectors,thousand barrels
MGTXP,motor gasoline total end-use consumption,MG,motor gasoline consumed,TX,all end-use sectors,thousand barrels
OPTXP,other petroleum products total end-use consumption,OP,other petroleum products,TX,all end-use sectors,thousand barrels
PCTXP,petroleum coke total end-use consumption,PC,petroleum coke,TX,all end-use sectors,thousand barrels
PQTXP,propane total end-use consumption,PQ,propane,TX,all end-use sectors,thousand barrels
RFTXP,residual fuel oil total end-use consumption,RF,residual fuel oil,TX,all end-use sectors,thousand barrels
PACCP,all petroleum products consumed by the commercial sector,PA,all petroleum products,CC,commercial sector,thousand barrels
DFCCP,distillate fuel oil consumed by the commercial sector,DF,distillate fuel oil,CC,commercial sector,thousand barrels
ENCCP,"fuel ethanol, including denaturant, consumed by the commercial sector",EN,"fuel ethanol, including denaturant",CC,commercial sector,thousand barrels
HLCCP,hydrocarbon gas liquids consumed by the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,thousand barrels
KSCCP,kerosene consumed by the commercial sector,KS,kerosene,CC,commercial sector,thousand barrels
MGCCP,motor gasoline consumed by the commercial sector,MG,motor gasoline consumed,CC,commercial sector,thousand barrels
PCCCP,petroleum coke consumed by the commercial sector,PC,petroleum coke,CC,commercial sector,thousand barrels
PQCCP,propane consumed by the commercial sector,PQ,propane,CC,commercial sector,thousand barrels
RFCCP,residual fuel oil consumed by the commercial sector,RF,residual fuel oil,CC,commercial sector,thousand barrels
PAEIP,all petroleum products consumed by the electric power sector,PA,all petroleum products,EI,electric power sector,thousand barrels
DFEIP,distillate fuel oil consumed by the electric power sector,DF,distillate fuel oil,EI,electric power sector,thousand barrels
PCEIP,petroleum coke consumed by the electric power sector,PC,petroleum coke,EI,electric power sector,thousand barrels
RFEIP,residual fuel oil consumed by the electric power sector,RF,residual fuel oil,EI,electric power sector,thousand barrels
PAICP,all petroleum products consumed by the industrial sector,PA,all petroleum products,IC,industrial sector,thousand barrels
ARICP,asphalt and road oil consumed by the industrial sector,AR,asphalt and road oil,IC,industrial sector,thousand barrels
P1ICP,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,thousand barrels
ABICP,aviation gasoline blending components consumed by the industrial sector,AB,aviation gasoline blending components,IC,industrial sector,thousand barrels
BYICP,butylene from refineries consumed by the industrial sector,BY,butylene from refineries,IC,industrial sector,thousand barrels
COICP,crude oil consumed by the industrial sector,CO,crude oil,IC,industrial sector,thousand barrels
DFICP,distillate fuel oil consumed by the industrial sector,DF,distillate fuel oil,IC,industrial sector,thousand barrels
EQICP,ethane consumed by the industrial sector,EQ,ethane,IC,industrial sector,thousand barrels
EYICP,ethylene from refineries consumed by the industrial sector,EY,ethylene from refineries,IC,industrial sector,thousand barrels
ENICP,"fuel ethanol, including denaturant, consumed by the industrial sector",EN,"fuel ethanol, including denaturant",IC,industrial sector,thousand barrels
HLICP,hydrocarbon gas liquids consumed by the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,thousand barrels
IQICP,isobutane consumed by the industrial sector,IQ,isobutane,IC,industrial sector,thousand barrels
IYICP,isobutylene from refineries consumed by the industrial sector,IY,isobutylene from refineries,IC,industrial sector,thousand barrels
KSICP,kerosene consumed by the industrial sector,KS,kerosene,IC,industrial sector,thousand barrels
LUICP,lubricants consumed by the industrial sector,LU,lubricants,IC,industrial sector,thousand barrels
MSICP,miscellaneous petroleum products consumed by the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,thousand barrels
MBICP,motor gasoline blending components consumed by the industrial sector,MB,motor gasoline blending components,IC,industrial sector,thousand barrels
MGICP,motor gasoline consumed by the industrial sector,MG,motor gasoline consumed,IC,industrial sector,thousand barrels
NAICP,natural gasoline consumed by the industrial sector (through 1983),NA,natural gasoline,IC,industrial sector,thousand barrels
PPICP,natural gasoline (pentanes plus) consumed by the industrial sector,PP,natural gasoline (pentanes plus),IC,industrial sector,thousand barrels
BQICP,normal butane consumed by the industrial sector,BQ,normal butane,IC,industrial sector,thousand barrels
OPICP,other petroleum products consumed by the industrial sector,OP,other petroleum products,IC,industrial sector,thousand barrels
FNICP,"petrochemical feedstocks, naphtha less than 401° f, consumed by the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,thousand barrels
FOICP,"petrochemical feedstocks, other oils equal to or greater than 401° f, consumed by the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,thousand barrels
FSICP,"petrochemical feedstocks, still gas, consumed by the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,thousand barrels
PCICP,petroleum coke consumed by the industrial sector,PC,petroleum coke,IC,industrial sector,thousand barrels
PLICP,plant condensate consumed by the industrial sector,PL,plant condensate,IC,industrial sector,thousand barrels
PQICP,propane consumed by the industrial sector,PQ,propane,IC,industrial sector,thousand barrels
PYICP,propylene from refineries consumed by the industrial sector,PY,propylene from refineries,IC,industrial sector,thousand barrels
RFICP,residual fuel oil consumed by the industrial sector,RF,residual fuel oil,IC,industrial sector,thousand barrels
SNICP,special naphthas consumed by the industrial sector,SN,special naphthas,IC,industrial sector,thousand barrels
SGICP,still gas consumed by the industrial sector,SG,still gas,IC,industrial sector,thousand barrels
UOICP,unfinished oils consumed by the industrial sector,UO,unfinished oils,IC,industrial sector,thousand barrels
USICP,unfractionated streams consumed by the industrial sector,US,unfractionated streams,IC,industrial sector,thousand barrels
WXICP,waxes consumed by the industrial sector,WX,waxes,IC,industrial sector,thousand barrels
PAPRP,crude oil production (including lease condensate),PA,all petroleum products,PR,production,thousand barrels
ENPRP,"fuel ethanol production, including denaturant",EN,"fuel ethanol, including denaturant",PR,production,thousand barrels
PARCP,all petroleum products consumed by the residential sector,PA,all petroleum products,RC,residential sector,thousand barrels
DFRCP,distillate fuel oil consumed by the residential sector,DF,distillate fuel oil,RC,residential sector,thousand barrels
HLRCP,hydrocarbon gas liquids consumed by the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,thousand barrels
KSRCP,kerosene consumed by the residential sector,KS,kerosene,RC,residential sector,thousand barrels
PQRCP,propane consumed by the residential sector,PQ,propane,RC,residential sector,thousand barrels
PATCP,all petroleum products total consumption,PA,all petroleum products,TC,total consumption,thousand barrels
ARTCP,asphalt and road oil total consumption,AR,asphalt and road oil,TC,total consumption,thousand barrels
P1TCP,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,thousand barrels
AVTCP,aviation gasoline total consumption,AV,aviation gasoline,TC,total consumption,thousand barrels
BYTCP,butylene from refineries total consumption,BY,butylene from refineries,TC,total consumption,thousand barrels
DFTCP,distillate fuel oil total consumption,DF,distillate fuel oil,TC,total consumption,thousand barrels
EQTCP,ethane total consumption,EQ,ethane,TC,total consumption,thousand barrels
EYTCP,ethylene from refineries total consumption,EY,ethylene from refineries,TC,total consumption,thousand barrels
ENTCP,"fuel ethanol, including denaturant, total consumption",EN,"fuel ethanol, including denaturant",TC,total consumption,thousand barrels
HLTCP,hydrocarbon gas liquids total consumption,HL,hydrocarbon gas liquids,TC,total consumption,thousand barrels
IQTCP,isobutane total consumption,IQ,isobutane,TC,total consumption,thousand barrels
IYTCP,isobutylene from refineries total consumption,IY,isobutylene from refineries,TC,total consumption,thousand barrels
JFTCP,jet fuel total consumption,JF,jet fuel,TC,total consumption,thousand barrels
KSTCP,kerosene total consumption,KS,kerosene,TC,total consumption,thousand barrels
LUTCP,lubricants total consumption,LU,lubricants,TC,total consumption,thousand barrels
MGTCP,motor gasoline total consumption,MG,motor gasoline consumed,TC,total consumption,thousand barrels
PPTCP,natural gasoline (pentanes plus) total consumption,PP,natural gasoline (pentanes plus),TC,total consumption,thousand barrels
BQTCP,normal butane total consumption,BQ,normal butane,TC,total consumption,thousand barrels
OPTCP,other petroleum products total consumption,OP,other petroleum products,TC,total consumption,thousand barrels
PCTCP,petroleum coke total consumption,PC,petroleum coke,TC,total consumption,thousand barrels
PQTCP,propane total consumption,PQ,propane,TC,total consumption,thousand barrels
PYTCP,propylene from refineries total consumption,PY,propylene from refineries,TC,total consumption,thousand barrels
RFTCP,residual fuel oil total consumption,RF,residual fuel oil,TC,total consumption,thousand barrels
PAACP,all petroleum products consumed by the transportation sector,PA,all petroleum products,AC,transportation sector,thousand barrels
AVACP,aviation gasoline consumed by the transportation sector,AV,aviation gasoline,AC,transportation sector,thousand barrels
DFACP,distillate fuel oil consumed by the transportation sector,DF,distillate fuel oil,AC,transportation sector,thousand barrels
ENACP,"fuel ethanol, including denaturant, consumed by the transportation sector",EN,"fuel ethanol, including denaturant",AC,transportation sector,thousand barrels
HLACP,hydrocarbon gas liquids consumed by the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,thousand barrels
JFACP,jet fuel consumed by the transportation sector,JF,jet fuel,AC,transportation sector,thousand barrels
LUACP,lubricants consumed by the transportation sector,LU,lubricants,AC,transportation sector,thousand barrels
MGACP,motor gasoline consumed by the transportation sector,MG,motor gasoline consumed,AC,transportation sector,thousand barrels
PQACP,propane consumed by the transportation sector,PQ,propane,AC,transportation sector,thousand barrels
RFACP,residual fuel oil consumed by the transportation sector,RF,residual fuel oil,AC,transportation sector,thousand barrels
TETGR,total energy consumed per dollar of real gross domestic product,TE,total energy,TG,total per dollar of real gross domestic product,thousand btu per chained (2009) dollar
NGMPK,conversion factor for natural gas marketed production,NG,natural gas,MP,natural gas marketed production,thousand btu per cubic feet
NGTXK,factor for converting natural gas consumed by all sectors other than electric power from physical units to btu,NG,natural gas,TX,all end-use sectors,thousand btu per cubic foot
NGEIK,factor for converting natural gas consumed by the electric power sector from physical units to btu,NG,natural gas,EI,electric power sector,thousand btu per cubic foot
NGTCK,factor for converting natural gas total consumption from physical units to btu,NG,natural gas,TC,total consumption,thousand btu per cubic foot
FFETK,"fossil fueled steam-electric power plant conversion factor, united states only",FF,fossil fueled,ET,miscellaneous,thousand btu per kilowatthour
NUETK,"factor for converting electricity generated from nuclear power from physical units to btu, united states only",NU,nuclear energy,ET,miscellaneous,thousand btu per kilowatthour
WDRCP,wood consumed by the residential sector,WD,wood,RC,residential sector,thousand cords
CLKCP,coal consumed at coke plants (coking coal),CL,coal,KC,coke plants (coking coal),thousand short tons
CLCCP,coal consumed by the commercial sector,CL,coal,CC,commercial sector,thousand short tons
CLEIP,coal consumed by the electric power sector,CL,coal,EI,electric power sector,thousand short tons
CCEXP,coal coke exported from the united states,CC,coal coke,EX,exported from the united states,thousand short tons
CCIMP,coal coke imported into the united states,CC,coal coke,IM,imported into the united states,thousand short tons
CLICP,coal consumed by the industrial sector,CL,coal,IC,industrial sector,thousand short tons
CLOCP,coal consumed by industrial users other than coke plants,CL,coal,OC,industrial users other than coke plants,thousand short tons
CCNIP,coal coke net imports into the united states,CC,coal coke,NI,net imports expenditures,thousand short tons
CLPRP,coal production,CL,coal,PR,production,thousand short tons
CLRCP,coal consumed by the residential sector,CL,coal,RC,residential sector,thousand short tons
CLTCP,coal total consumption,CL,coal,TC,total consumption,thousand short tons
CLACP,coal consumed by the transportation sector,CL,coal,AC,transportation sector,thousand short tons
