sgf_1997,line_num_1997,sgf_1997_relabel,sgf_1997_units,sgf_1998,line_num_1998,sgf_1998_relabel,sgf_1998_units,sgf_1999,line_num_1999,sgf_1999_relabel,sgf_1999_units,sgf_2000,line_num_2000,sgf_2000_relabel,sgf_2000_units,sgf_2001,line_num_2001,sgf_2001_relabel,sgf_2001_units,sgf_2002,line_num_2002,sgf_2002_relabel,sgf_2002_units,sgf_2003,line_num_2003,sgf_2003_relabel,sgf_2003_units,sgf_2004,line_num_2004,sgf_2004_relabel,sgf_2004_units,sgf_2005,line_num_2005,sgf_2005_relabel,sgf_2005_units,sgf_2006,line_num_2006,sgf_2006_relabel,sgf_2006_units,sgf_2007,line_num_2007,sgf_2007_relabel,sgf_2007_units,sgf_2008,line_num_2008,sgf_2008_relabel,sgf_2008_units,sgf_2009,line_num_2009,sgf_2009_relabel,sgf_2009_units,sgf_2010,line_num_2010,sgf_2010_relabel,sgf_2010_units,sgf_2011,line_num_2011,sgf_2011_relabel,sgf_2011_units,sgf_2012,sgf_2012_relabel,sgf_2012_units,sgf_2013,sgf_2013_relabel,sgf_2013_units,finsrc.id_2014,finsrc.id_2014_relabel,finsrc.id_2014_units,finsrc.id_2015,finsrc.id_2015_relabel,finsrc.id_2015_units,finsrc.id_2016,finsrc.id_2016_relabel,finsrc.id_2016_units
Utility expenditure,43,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,43,Utility Expenditure,thousands of us dollars (USD),Other and unallocable,43,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,43,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,43,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Utility expenditure,43,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,43,Utility Expenditure,thousands of us dollars (USD),Liquor store expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor store expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor store expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor stores expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor stores expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor stores expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor stores expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor stores expenditure,43,Liquor Stores Expenditure,thousands of us dollars (USD),SGF045,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),SGF045,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),98,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),98,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),98,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD)
Liquor stores expenditure,44,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor stores expenditure,44,Liquor Stores Expenditure,thousands of us dollars (USD),Utility expenditure,44,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,44,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,44,Utility Expenditure,thousands of us dollars (USD),Liquor store expenditure,44,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor store expenditure,44,Liquor Stores Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,44,Insurance Trust Expenditure,thousands of us dollars (USD),SGF046,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),SGF046,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),99,Cash and Security Holdings,thousands of us dollars (USD),99,Cash and Security Holdings,thousands of us dollars (USD),99,Cash and Security Holdings,thousands of us dollars (USD)
Insurance trust expenditure,45,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,45,Insurance Trust Expenditure,thousands of us dollars (USD),Liquor store expenditure,45,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor store expenditure,45,Liquor Stores Expenditure,thousands of us dollars (USD),Liquor store expenditure,45,Liquor Stores Expenditure,thousands of us dollars (USD),Insurance trust expenditure,45,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,45,Insurance Trust Expenditure,thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,45,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),SGF047,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),SGF047,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),,,,,,,,,
Debt at end of fiscal year,46,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,46,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Insurance trust expenditure,46,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,46,Insurance Trust Expenditure,thousands of us dollars (USD),Insurance trust expenditure,46,Insurance Trust Expenditure,thousands of us dollars (USD),Debt at end of fiscal year,46,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,46,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,46,Cash and Security Holdings,thousands of us dollars (USD),SGF048,Utility Expenditure,thousands of us dollars (USD),SGF048,Utility Expenditure,thousands of us dollars (USD),,,,,,,,,
Cash and Security Holdings,47,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,47,Cash and Security Holdings,thousands of us dollars (USD),Debt at end of fiscal year,47,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,47,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Debt at end of fiscal year,47,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),Cash and security holdings,47,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,47,Cash and Security Holdings,thousands of us dollars (USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF049,Liquor Stores Expenditure,thousands of us dollars (USD),SGF049,Liquor Stores Expenditure,thousands of us dollars (USD),,,,,,,,,
,,,,,,,,Cash and security holdings,48,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,48,Cash and Security Holdings,thousands of us dollars (USD),Cash and security holdings,48,Cash and Security Holdings,thousands of us dollars (USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF050,Insurance Trust Expenditure,thousands of us dollars (USD),SGF050,Insurance Trust Expenditure,thousands of us dollars (USD),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF051,Insurance Trust Expenditure - Unemployment Compensation Systems,thousands of us dollars (USD),SGF051,Insurance Trust Expenditure - Unemployment Compensation Systems,thousands of us dollars (USD),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF052,Insurance Trust Expenditure - State-Administered Pension Systems,thousands of us dollars (USD),SGF052,Insurance Trust Expenditure - State-Administered Pension Systems,thousands of us dollars (USD),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF053,Insurance Trust Expenditure - Workers' Compensation Systems,thousands of us dollars (USD),SGF053,Insurance Trust Expenditure - Workers' Compensation Systems,thousands of us dollars (USD),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF054,Insurance Trust Expenditure - Other Insurance Trust Systems,thousands of us dollars (USD),SGF054,Insurance Trust Expenditure - Other Insurance Trust Systems,thousands of us dollars (USD),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF055,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),SGF055,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGF056,Cash and Security Holdings,thousands of us dollars (USD),SGF056,Cash and Security Holdings,thousands of us dollars (USD),,,,,,,,,
